user_id,channel,event_name,event_timestamp,amount,is_fraud,kyc_result
U000001,pagado,signup,2024-01-04 12:37:26.165719,,,
U000001,pagado,login,2024-01-05 21:08:16.225330,,,
U000002,organico,signup,2024-02-09 00:03:58.549632,,,
U000002,organico,login,2024-02-09 01:26:14.412244,,,
U000002,organico,view_service,2024-02-09 17:03:07.448469,,,
U000003,organico,signup,2024-02-24 20:14:24.749276,,,
U000003,organico,login,2024-02-26 05:46:51.906548,,,
U000003,organico,view_service,2024-02-26 09:33:17.349022,,,
U000004,organico,signup,2024-01-10 10:39:07.973082,,,
U000004,organico,login,2024-01-12 01:24:49.172525,,,
U000004,organico,view_service,2024-01-12 14:18:22.758570,,,
U000005,organico,signup,2024-02-21 12:18:48.511772,,,
U000005,organico,login,2024-02-22 16:04:07.115700,,,
U000005,organico,view_service,2024-02-22 17:12:58.094059,,,
U000005,organico,start_application,2024-02-23 14:07:23.274558,,,
U000005,organico,complete_kyc,2024-02-23 22:14:35.756224,,,kyc_approved
U000005,organico,first_transaction,2024-02-24 11:39:29.524344,45.3,False,
U000005,organico,repeat_transaction,2024-02-28 16:23:48.020841,17.67,False,
U000005,organico,repeat_transaction,2024-03-06 23:59:23.496586,61.89,False,
U000005,organico,repeat_transaction,2024-03-08 15:24:46.088034,70.7,False,
U000005,organico,repeat_transaction,2024-03-14 10:47:13.256412,9.34,False,
U000005,organico,repeat_transaction,2024-03-19 14:38:06.797147,14.71,False,
U000005,organico,repeat_transaction,2024-03-28 22:31:10.978420,40.02,False,
U000006,organico,signup,2024-01-31 22:53:24.835918,,,
U000006,organico,login,2024-02-02 13:33:06.933803,,,
U000006,organico,view_service,2024-02-02 15:11:13.715344,,,
U000007,pagado,signup,2024-03-06 19:47:52.302517,,,
U000007,pagado,login,2024-03-08 02:41:25.679014,,,
U000007,pagado,view_service,2024-03-08 06:05:04.605163,,,
U000008,pagado,signup,2024-02-04 13:50:53.293535,,,
U000008,pagado,login,2024-02-06 02:09:00.368780,,,
U000009,organico,signup,2024-01-17 01:53:33.622240,,,
U000009,organico,login,2024-01-18 06:32:08.622827,,,
U000009,organico,view_service,2024-01-18 12:36:25.548252,,,
U000010,referido,signup,2024-03-10 08:20:32.700126,,,
U000010,referido,login,2024-03-10 16:01:05.423285,,,
U000010,referido,view_service,2024-03-11 09:21:44.200811,,,
U000011,referido,signup,2024-03-11 02:01:21.756515,,,
U000011,referido,login,2024-03-12 18:26:19.218914,,,
U000011,referido,view_service,2024-03-12 23:15:09.334108,,,
U000011,referido,start_application,2024-03-13 10:58:04.686522,,,
U000011,referido,complete_kyc,2024-03-17 06:31:37.899765,,,kyc_rejected
U000012,referido,signup,2024-02-25 09:26:48.621936,,,
U000012,referido,login,2024-02-27 08:44:37.440521,,,
U000013,organico,signup,2024-01-24 05:53:57.142804,,,
U000013,organico,login,2024-01-25 21:05:12.192624,,,
U000014,pagado,signup,2024-01-17 09:20:18.248216,,,
U000015,referido,signup,2024-02-07 13:56:37.878093,,,
U000015,referido,login,2024-02-08 11:40:12.148314,,,
U000015,referido,view_service,2024-02-08 13:15:12.461095,,,
U000015,referido,start_application,2024-02-10 05:10:49.507959,,,
U000015,referido,complete_kyc,2024-02-12 13:52:35.219293,,,kyc_approved
U000015,referido,first_transaction,2024-02-12 16:47:47.411653,29.33,False,
U000015,referido,repeat_transaction,2024-02-14 08:06:06.086926,36.17,False,
